content,score
Membantu banget buat cari id tanaman.. apalagi skrng ada fiture sosmednya.. keren,5
"bagus kok, sesuai foto nama tanamannya",5
Sangat membantu buat klasifikasi tanaman.,5
Baik dan gembira MENGENALI tumbuh-tumbuhan dan manfaatnya. Terima kasih dan salam hornat.,5
Sangat jernih Dan fokus..! Keren.,5
Sangat membantu unt mengindentifikasi tanaman,5
Apknya sangat membantu sekali buat referensi.😉,5
Aplikasi yg sangat bermanfaat.. Trims... Sukses slu... 💕💐👍,5
apps mntap bisa lebih bayak wawasan bisa mengenal nama2 tumbuhun,5
"Suka banget sih,yaampun,gak perlu khawatir deh kalo ditanyain nenek ini tanaman apa nak? Btw emg gak terlalu tau sih,jadi pake ini tuh segalanya mudah gini,hhh makasih ya! Luv❣️",5
mantaf nih aplikasi...bisa membantu mengenali tumbuhan dengan bahasa ilmiah yamg mendunka,5
"aplikasi yang bagus, kalau saya main ke hutan akan lebih asik kayanya",5
"Dengan adanya apikasi ini.pegetahuan kami tentang tanaman,bunga,dan pohon semakin bertambah.",5
Langsung 5 bintang aja mudah mudahan bagus,5
Mohon di tingkatkan kecepatan tinggi,5
Keren abis kameranya mantap bener,5
sangat membantu untuk mengidentifikasi tumbuhan d sekolah,5
sangat bermanfaat untuk membantu mahasiswa pertanian mengenal tanaman disekitar yang tidak dketahui nama latin dan deskripsinya,5
Sangat bagus tranfer dengan Dana semua jd mudah,5
bagus untuk menambah pengetahuan tentang dunia tanaman,5
Aplikasi yang sangat membantu khususnya pecinta sains 😍,5
Sangat bermanfaat. Lebih mengenal tumbuhan di sekitar kita. Aamiin,5
Aplikasi cerdas untuk penggemar tanaman,5
terimakasih planSnap semoga aplikasi ini berguna untuk bantu banyak penguna mengintifikasih berbagai tumbuhan liar di alam serta kegunaan nya yg ber manfaat dan tepat guna.,5
Bagus aplikasi free. Dan membantu pembelajaran tentang tanaman,5
Wow aplikasia ini sangat bagus Pertama gue pikir hanya aplikasi goblok Ternyata sangat bagus Terima kasih,5
mntap harp wkt screnshot bisa di simpan komposisinya,5
saya suka dgn aplikasi ini karena membantu saya mengenal lebih jauh dgn mahluk Ciptaan Tuhan,5
aplikasi yg sangat bermanfaat bagi semua orang,5
semoga bermampat biasanya untuk tugas sekolah👍,5
sangat bermanfaat san akurasi tinggi,5
sangat membantu untuk mengetahui jenis tumbuhan yang ada di sekitar kita,5
"hebat, sangat membntu pengetahuan tentang nama tumbuhn",5
simpel cukup menghibur,5
"Sangat membantu,aq sgt suka sekali",5
Mantap tapi blm di coba,5
Bagus ealau kadang2 salah. Tali kesalahnnya sedikit,5
informasi yang sangat membantu,5
Aplikasi ini sangat membantu saya dalam mengidentifikasi jenis dan nama tanaman.,5
Melalui aplikasi ini memudahkan dalam mengidentifikasi nama latin bunga,5
Dapat mengenal tanaman lebih akurat,5
sudah bagus tp di tingkatkan lagi.,5
bagus dan sangat ilmiah,5
opsi pelajaran biologi tambahan,5
Saya bersyukur dengan adanya aplikasi ini menambah pengeyahuan,5
trimaksih smoga bermanfaat utk smua...,5
Dangan bermanfaat ditingkatkan lagi,5
"Sangat membantu, terimakasih",5
lumayan bagus aplikasinya😀😀😀😀,5
sangat membantu bagi pecinta botani seperti saya,5
Apk yg sangat membantu. Recomended bgt,5
"Bagus, sangat membantu",5
"Keren,fakta hasilnya.",5
dahsyat dech app ini gua kasih 5,5
Aplikasi yg sangat bermanfaat.,5
Inspiratif banget aplikasi ini.,5
mantap sangat membantu,5
Kereeen banget Terimakasih. Eksplorasi alam ciptaan Allah semakin seruuu,5
"kereenn,sangat membantu",5
kok gk bisa di pake gk ngerti aku,5
Tlg iklan nya di kurangi,5
Sangat membantu thanks,5
Sangat membantu mengetahui nama tanaman,5
sangat sangat sangat bermanfaat,5
okayy dehh lbh mudah mengenali tanaman,5
Baru dicoba... Gimana hasilnya ntar dikomen deehh.....,5
bagus sekali mantap.,5
Masih baru downloads,5
Sangat Membantu 😊,5
usul untuk tanaman herbal biar dapat di ketahui..,5
Sangat membantu,5
sangat bermanfaat,5
Sangat bermanfaat tenk's,5
Sangat bermanfaat,5
sangat bagus menurut saya,5
Sangat menarik,5
sangat membantu,5
sangat membantu,5
Bagus bisa tau nama nama pohon,5
sangat membantu,5
Sangat membantu,5
sangat bermanfaat,5
Sangat membantu,5
Aplikasi hebat...,5
Sangat membantu,5
PlantSnap..sangat membantu..dan skrg lbh baik drpd sebelumnya..,5
Mengenali nama bermacam-macam tanaman,5
Sangat bagus..,5
belum dicoba,5
Bagus.. kembangkan terus,5
Sangat berguna,5
sangat membntu,5
"OK, saya coba dulu.",5
Ok bgt banyak membantu saya,5
Patut di coba,5
Membantu mengenal tanaman,5
Buat mengetaui jenis tanaman,5
Sangat membatu,5
berguna banget ...,5
semoga bermanfaat ya,5
Aku akan coba besok pagi,5
Bs bantu analisa tanaman,5
mantap lah..,5
Menambah pengetahuan,5
baik sekali,5
Suka sekali,5
Ok,5
Amazing,5
Ok,5
Canggih,5
Bagus,5
Very fast,5
Very good,5
Mantap,5
Asik,5
Yes i like this aplication,5
"Thank you so much for the creator of this app, I really appreciate for this app that help me to make my herbarium assignment. Thankyou so much",5
Sangat praktis,5
Valuable and useful,5
Siip,5
"It helps me identify many species of plants, although still few missidentification presents. What is the difference between this version with pro version ? Is the pro version more accurate then free version ?",5
Keren,5
Awesome,5
Amazind app,5
Good experience,5
Good,5
"Bring 5 stars,to this plant snap apps , forward i will say my thank to all Xiaomi , officials.and lthanks to plants snap.inc.too.because its your apps very nice best apps.",5
Oce,5
Bagos,5
Terima kasih,5
Apiiikkkk Toopppp,5
👍,5
"thanks,, it is make my project success",5
good,5
ok,5
"mantabs,",5
bagus,5
muaskan,5
Good,5
ok,5
bagus,5
ok,5
ok,5
sangat bgus,5
Keren,5
mangthaabb,5
good,5
Nice,5
trima kasih sangat bermanfaat,5
mantap,5
mantapss,5
ok,5
perfect..i,5
joss,5
vvbbb bbb b,5
bagus,5
good👍👍👍👍i love it,5
good,5
Pas,5
sipp,5
Sangat bernanfaat,5
bintang...🤝🏾🙏🙏💞,5
nice,5
ok,5
keren,5
good,5
wooo,5
ok,5
good,5
oke,5
Very nice...very good 👍,5
Oke,5
koi,5
Aku langsung ngasi b5 .tau dah apk nya bgs apa nggk .wkwkw,5
joss,5
Tes dulu,5
Mantap,5
Mantap,5
Keren dech,5
Best for me,5
Bagus',5
aplikasi sudah bagus.. tp masih perlu disempurnakan lagi.. karena belum maksimal dalam akurasi kultur dan jaringan.. sehingga masih bimbang dalam menentukan nama dan jenis tumbuhan.. trimakasih.. kami tunggu penyrmpurnaannya..,3
aplikasi nya bagus bisa tau nama tanaman tapi saya ada saran kalo bisa tambahkan fungsi tanaman misalnya bisa buat obat atau bisa di makan atau mungkin juga bisa beracun itu aja,3
saya sudah mencobanya tapi belum puas kerena ada tumbuhan didepan rumah saya scan lewat PlantSnap ternyata tidak bisa memberi penjelasan atau tidak mendapatkan hasil.,3
"sangat membantu dan menambah pengetahuan tentang tumbuh-tumbuhan,bunga..",3
analisa 50 % salah. yg paling mengesalkan selalu minta diupdate. Ngabisin waktu dan quota,3
Aplikasinya sudah bagus tapi harus diperbaiki lagi biar lebih baik dan disukai banyak orang...,3
"Masih banyak perlu ppenyempurnaan, masak daun telinga di katakan pisang..heheh, iklanya bikin risih",3
Kurang akurat..banyak yang salah saya sudah mencoba buat identifikasi beberapa kali namu keliru..,3
cukup membantu untuk memahami tentang bunga,3
bagus... tapi tlong tampilkan dngan rinci kegunaan tanaman itu biar lbih bermanfaat,3
Iklannya sangat mengganggu.,3
"kurang pas kameranya,, tapi dah menghampiri,,,,",3
Tidak bisa mendeteksi dengan tepat AQ uninst.,3
Saya baru pasang aplikadi ini jadi lihat dulu ya kalo bagus aq tambah bintangnya,3
Saya harap lain kali lebih detail dan ada aplikasi snap untuk binatang juga,3
Kadang tepat kadang gak banyak gak tepatnya,3
Untuk mengidentifikasi tanaman liar nggak bisa. Apakah harus pakai yg premium..?,3
"Tolong donk agar bisa juga kasih nama umum,jangan nama latinnya doank",3
Lumayan membantu... tetapi belum begitu akurat...,3
"baru saja install,jika hasilnya bagus saya tambah bintangnya",3
Sangat membantu identifikasi bunga dan tanaman yg belum saya kenal,3
"saya baru instal,klo bagus saya beri lg bintang nya",3
Semoga bermanfaat dan jangan boros kuota,3
3 dulu ntar kalau bagus ditambah,3
saya coba dulu ya kalau gak ribet dan bayar tak tambah bintang ⭐⭐⭐⭐,3
tidak ada nama indonesia nya,3
Lumayan bagus..tapi kurang akurat..thx,3
kadang tumbuhan tidak sesuai,3
Saya kasih 3 bintang dlu kalu bagus saya tamba bintangnya,3
Apa bisa bhs indonesia,3
coba dulu nanti klo bagus q kasi bintang lagi,3
BRAVO!! tingkatkan d ini sangat bguna buat generasi skrang d akan datang..,3
Sy kasih 3 ⭐⭐⭐ nanti klo betul2 bagus baru Sy kasih 5 bintang 😆,3
3 dulu y ntar klo bgs aq tambah lagi.,3
"3 dulu,,,,klu good baru +",3
Kurang dapat mengidentifikasi tanaman,3
3 aja dulu klo bagus saya tambahin,3
Tuk guru biologi cocok banget,3
lumayan bagusnya,3
Sangat membantu,3
Saya lagi mau coba aplikasinya,3
Tingkatkn lgi,3
baru kenal jadi kasih 3 bintang dulu,3
Lumayan bagus..,3
Kita coba dulu apk. Nya,3
Baru dimulai mulai sekarang,3
kocak pas gua poto kontol gue yg keluar jamur 🍄,3
Saya kasih bintang 3 dulu,3
Semoga bagus,3
Bagus sekali,3
saya kasih 3 dulu,3
3 bintang dulu,3
Boleh lah....coba dulu..makasih,3
coba dulu...,3
Saya coba yaa..,3
Dicoba dulu,3
Semoga bermanfaat,3
Cobaa dulu yah,3
Ok,3
Kurang akurat,3
"Why can't I upload the pictures ? And when I open the app, my quota of photo was 10/10 before I take a picture ?",3
Forceclose in my phone. Asus zenfone max 3 zc553kl,3
Cukup bagus,3
bintang 3 disik,3
after update very long time to see result,3
memang ok,3
ok,3
coba dulu,3
nyoba dulu,3
bagus,3
sip bagus,3
kurang cepat,3
kurang jelas,3
oke,3
coba dulu,3
belum ada,3
Gak ada translate bahasa indonesianya untuk deskripsi tanamannya...hanya menu/berandanya saja yg berbahasa indonesia,3
Coba dulu klu bagus aku tambah lagi 2 bintang,3
Baru mau coba kalo ok di pertahankan kalo ga ok di apus xixixixxixi,3
D coba hela mun alus,3
Nya da aku mah ga pernah liat,3
Biasa aja,3
Lihat dl,3
sangat suka,3
Coba dulu,3
Coba dlu,3
baru coba,3
Coba dulu,3
U tu,3
Coba dulu,3
Nyoba,3
Tes,3
Sip,3
Di coba,3
Good,3
cukuo,3
Netral,3
mantul,3
Bagus,3
Lumayan,3
terimakasih,3
ranting nol besar....sorry sudah saya coba untuk mendeteksi beberapa tumbuhan hasilnya tidak tepat sama sekali...tolong di perbaiki,1
"pengembang perlu penelitian lebih detil. bintang 1 cvkup untuk usaha yg luar biasa, karena dari 10 uji coba keakuratan 100 % salah.",1
"tidak akurat jauh, hasil foto sama nama latinnya ataupun lokal tidak banyak yang nyambung",1
"Saya kira ini bukan solusi yang baik, tambah pusing iya. Coba perbarui yang lebih baik identifikasi tanamannya",1
saya sudah mencoba. dikasih kesempatan foto 5 kali dan semuanya saya foto dengan tanaman yang berbeda. tapi sayang gak ada yg akurat. mohon diperbaiki,1
ulasan ke 2 hasil masih sama setelah selesai penginstalan lalu saya buka app nya lalu blank hitam hp nubia m2 lite ram rom 4/32,1
"Baru mau nyoba 1 tanaman, malah muter terus gak selesai. Pas mau coba lagi, eh malah katanya jatah 0.",1
Saya sangat menyesal banget aplikasi ini gak jelas banget tolong dong di batalin soalnya gak bisa di gunakan..sudah mengikuti banyak petunjuk tetap aja gak bisa di gunain aplikasi ini.,1
lelet minta ampun. malah cepet cari dari browsing. nama2 lokal tidak terdetek,1
"Aduh setelah go premium kok jadi malah salah"" diteksi nama!! nyesel go premium.",1
"Uji coba untuk lima jenis tanaman berbeda, semuanya salah identifikasi. Program ini masih perlu penyempurnaan berat",1
"aplikasi harus diperbaiki. Jangankan untuk mendeteksi tanaman, di klik aja g mempan 🙏",1
"Aplikasi tidak berguna dan sampah,salah identifikasi dan fatal deteksinya,jangan di donlot🤢🤮😠",1
"Terpaksa uninstal. Yg di foto tanaman cabe. Ntah apa apa yg keluar. Trus saya foto tanaman bawang, yg keluar tanaman lidah buaya. Hahahaha aplikasi nya tolollllllllll wkwkwkwk.",1
Aplikasi gimana sih ini.. kok gk akurat sama sekali.. udh di coba bolak balik fto ttep keliru aja namanya,1
"keren banget! sebelumnya aku gatau bentuk tomat itu kayak gimana, berkat aplikasi ini aku jadi bisa bedain tomat dan cabai",1
aplikas Bodoh tidak sesuai sama sekali dng jenis yang di identifikasi. maaf langsung saya hapus.,1
"Percuma download setiap foto tumbuhan 1 pun gx ada yg benar, lalu apa fungsi aplikasi ini ??? Masak foto pohon singkong jawabanya entah pohon apa padahal dari ruas pohon dan daun sudah jelas itu pohon apa",1
"Gausah didownload, ga bisa dipakek, terjadi kesalahan kok terus terusan",1
kurang akurat..saya foto pohon kurma saja tidak bisa mendeteksi dengan akurat,1
indentifikasi terlalu lama dan tidak akurat,1
"App nya tidak bisa mengidentifikasi, walau aku dah tahu nama tumbuhan nya, aku coba tes, app nya gak bisa kasih jawaban.. 😒",1
"knapa yah tidak bisa digunakan di redmi 5, mohon pencerahannya min....",1
maaf apl nya terlalu sombong di judul ternyata TIDAK AKURAT sama sekali. silahkan coba yg penasaran. biar tidak ada dusta di antara kita. aku KAPOK ...!!!! wkwkwkwkw,1
"sudah cek 5 kali semua tidak akurat padahal hanya kangkung, labu, cabai, gulma semua tidak valid",1
"waduh, gmn mau paham jenis tumbuhan/tanaman yg blm d kenal, yg sudah jelas tau aja salah mengidentifikasikan, mhon di perbaiki, terima kasih🙏",1
gak bisa ambil gambar disuruhnya coba lagi... klw masih sama sy delet lagi,1
"Aplikasi ini bagus untuk mengetahui ragam jenis tanaman. Tapi sayang, saya harus hapus aplikasi ini karena TIDAK AKURAT.",1
Baru tadi mencoba identifikasi hasilnya sangat jauh berbeda☹️☹️☹️,1
Banyak. Salah mengidentifikasi.. Kurang referensi.harus banyak lagi dimasukan jenis tanaman yang lain....................,1
Sya ksih tau ya jangan download apk ini ko sya apk nya gk bisa di buka kirain gk pake data eh pke data jancok,1
tidak membantu. harus ketik nama sesuai prediksi kita baru mau. tadinya tdk mau kasih bintang. ternyata dijebak harus kasih bintang baru bisa posting komentar.,1
"tingkat akurasinya rendah,,,,",1
"Bahaya, jangan di download bisa kena root",1
"apalikasi apa gn, gak bisa di buka gak jln,, ngabisin kuota aja lo,,",1
"Setiap hari saya masuk hutan, tapi masih sedikit perbendaharaan tentang pohon",1
"Aplikasi anjing, mending lu ganti jd aplikasi buat tau jenis2 anjing, biar tau diri kalau emang ga bakat buat cari tau jenis tanaman!",1
lama kali indentifikasinya padahal cuma bawang bombay yg dikupas kulit kuningnya,1
Apk ini cocok buat yg hobi nonton iklan,1
Bagus banget nih banyak iklan jadi seru anjing,1
Aplikasi bloon paling bodoh sedunia. Abal abal.. gak bisa mendefenisi jenis bunga atau daun pohon,1
apl yg paling jelek jgn mudah d boongin jujur apl ini penipu.penipu penipu penipu. sori lupa mau d buang aja ah.gamutu bagusan kamera nokia jadul.,1
"Aplikasi gak guna,aku sangat kecewa download aplikasi ini",1
Tidak akurat....semua salah Tidak mengenal jenis tanaman Apk ini jauh dari semputna,1
"anjay, baru kemaren diupdate, hari ini update lgi",1
aplikasi kurang bagus ... gak akurat,1
loading nya lama amat .,1
"gak sesuai banget, daun bougenvil di deskripsikan sbg daun cabai rawit. daun pucuk merah dikira daun dr brbagai spesies bamboo",1
"Masih perlu di up lg nih,,, daun jambu bol di rumah gue dibilang JSHE,,,",1
identifikasi tidak tepat.,1
"Gak guna, saya foto ke rumput depan rumah malah keluar gambar tanaman enceng gondok",1
aplikasi ini mala menyesatkan banyak yg salah dalam mengidentifikasi tumbuhan kecewa saya,1
"Aplikasi abal abal ,selalu keliru mengidentifikasi tanaman",1
ahh kurang baguss masa aku foto daun kelor yg keluar penjelasannya gk ada mlh tanaman lain,1
ga akurat nih mendingan jangan pake apk ini,1
"Payah, ngawur, tidak akurat sama sekali....",1
kok jatahnya 10x Potret???.....Uninstall,1
Masih banyak kekurangannya,1
Kurang bermanfaat...tidak membantu,1
"mamfaat ,plantsnap, dapat mengetahui",1
Wkwkwkwk apknya selalu salah jawab,1
Mohon maaf atas ketidak sesuaian nama tumbuhan tersebut karena tim kami ini anjinggggg goblokkkk ashhuuuuu Nyeselll dahh wee downloadd muterrrrrrrrr teroossssss gak selesai2,1
"jelekkkkkk banget,ujung ujungnya minta bayar",1
"Keren,,jadi tau bedanya sawi sama bayam 😁",1
aplikasi oon eggk ada yg benar...,1
"Kontil, foto bunga Bougenville yg keluar gak jlas",1
gk bisa si buka,1
Tidak tepat hasilny,1
"Yg difoto pohin apa, jawabannya ohin ap.. Ngaco. UNINSTAL.",1
Gak sesuai,1
tingkatkan lagi,1
Masa tanaman mawar dibilang kembang kol..,1
Pepek aplikasi gak bermutu,1
Penipuan jauh beda,1
Aplikasi ngga jelas.....,1
"ngaco, gk akurat,",1
Baru pertama indentipikasi udah salah,1
"😀😀😀😀, aplikasi abal2, masak pohon cabai lengkap dg buahx dibilang winter jasmin, pohon duwet dibilang mangrove ...",1
Bner aplikasi ngaco!!!!!,1
Salah semua orang foto anggrek di bilang pandan,1
Kurang keren .,1
Hasilnya ngasal.yg di foto daun bawang malah dibilng monstera hem,1
Ngaco...masa foto daun beringin jadi nya pohon pisang 😂😂😂,1
Aplikasi yang goblok,1
jangan donlut.. gak guna,1
bukan aneka tanaman toga,1
Gk ada manfaatnya..,1
ngaco....gak sesuai,1
Salah semua. Parah.,1
apk tolol salah smua pepek,1
Gk ada guna nya,1
Sangat buruk,1
Gk jelas,1
Tidak akurat,1
kurang cerdas,1
kecewa,1
haduh katipu aing ni sebel,1
Dua kali moto tanaman tidak terdeteksi,1
Meleset terus,1
Tes dulu,1
"Bad app...!!i'm regret to download this app....!!must use internet 
connection 😑😑...!!",1
Jangan didownload.. aplikasi boong.. buang buang kuota,1
Apl gadanta!!! Jangan di download. Nyesel gue download!,1
Not woking,1
Aplikasi khusus org kota sj. Bego kali,1
HaSiL yAnG sAnGaT bAgUs ಠ益ಠ,1
Chef juna slh picik,1
Apk tidak berguna...anjirrr,1
Force Close ; - ;,1
"Error, SERVICE_MISSING",1
Not found what i looking for,1
aplikasi busuk,1
Very sad,1
Gak jelas,1
out of expectation,1
Sering salah,1
Ga tahu,1
Tidak Keren,1
Mantep,1
